SYMBOL,PRICEPER,AMOUNT,TOTAL,DIVIDEND
AAPL,258.73,108,27942.84,0
AMBA,65.99,377,24878.23,0
AMZN,238.98,110,26287.8,0
BITF,2.96,8296,24556.16,0
BLBD,49.36,472,23297.92,0
CROX,83.36,307,25591.52,0
CVX,166.85,140,23359.0,0
DTST,4.47,5483,24509.01,0
GOOGL,332.24,101,33556.24,0
HALO,71.17,337,23984.29,0
JNJ,218.52,128,27970.56,0
JPM,310.74,29,9011.46,0
KO,70.96,362,25687.52,0
MSFT,459.81,58,26668.98,0
NVDA,188.36,152,28630.72,0
PG,145.15,138,20030.7,0
PL,28.28,863,24405.64,0
SITM,362.03,79,28600.37,0
STRL,339.7,80,27176.0,0
TGTX,31.68,753,23855.04,0
